Name,Status,Maximale Förderrate und Förderhöhe,Antragsberechtigt sind,Beschreibung,Typ,Bestand / Neubau,Förderprogramm,Fördergeber,Basis Förderrate,Art der Maßnahme,Gebäudeart
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,60.000 € pro WE,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung unterstützt Wohnungsbesitzer dabei, ihre Wohngebäude energieeffizienter zu machen, indem sie finanzielle Anreize für die Umsetzung von Modernisierungsmaßnahmen bietet, die den Energieverbrauch senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Heizungsoptimierung zur Emissionsminderung - Wohngebäude,Bund,50 %,"Heizungsoptimierung, Biomasse",Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung ermöglicht es Wohnungsbesitzern, ihre Gebäude energieeffizienter zu gestalten und dadurch langfristig Energiekosten zu senken und einen Beitrag zum Klimaschutz zu leisten.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wasserstofffähige Heizung (Investitionsmehrausgaben) - Wohngebäude (458),Bund,30 %,Sonstige Heizungen,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung konzentriert sich darauf, Eigentümer bei der Umstellung auf energieeffiziente Wohngebäude zu unterstützen, indem sie finanzielle Anreize für die Durchführung von energetischen Modernisierungsmaßnahmen bereitstellt.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Gebäudenetzanschluss - Wohngebäude (458),Bund,30 %,Fernwärme,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung unterstützt Wohnungsbesitzer dabei, ihre Wohngebäude energieeffizienter zu machen, indem sie finanzielle Anreize für die Umsetzung von Modernisierungsmaßnahmen bietet, die den Energieverbrauch senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wärmenetzanschluss - Wohngebäude (458),Bund,30 %,Fernwärme,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,850 €,"Privatperson, WEG","Die BEG-Einzelmaßnahme-Förderung unterstützt Wohnungsbesitzer dabei, ihre Wohngebäude energieeffizienter zu machen, indem sie finanzielle Anreize für die Umsetzung von Modernisierungsmaßnahmen bietet, die den Energieverbrauch senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Energieberatung für Wohngebäude,Bund,50 %,Energieberatung,Wohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,"500 € pro m²
5 Mio. €","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude fördert Investitionen in Energieeffizienzprojekte wie die Optimierung von Beleuchtungssystemen, Heizungs- und Kühlsystemen sowie die Implementierung von energieeffizienten Technologien in gewerblichen und öffentlichen Gebäuden.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Gebäudehülle - Nichtwohngebäude,Bund,15 %,"Fenster / Haustür, Dämmung",Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,"500 € pro m²
5 Mio. €","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude zielt darauf ab, die Energieeffizienz in verschiedenen Arten von Gebäuden wie Bürogebäuden, Schulen und Krankenhäusern durch Investitionen in moderne Technologien und effiziente Systeme zu verbessern.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagentechnik (außer Heizung) - Nichtwohngebäude,Bund,15 %,"Lüftung, Smart Home",Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude konzentriert sich darauf, Unternehmen und öffentliche Einrichtungen dabei zu unterstützen, energieeffiziente Lösungen einzuführen, um den Energieverbrauch und die Betriebskosten zu senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Biomasseheizungen - Nichtwohngebäude (458),Bund,30 %,Biomasse,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude ermöglicht Unternehmen und Institutionen, in energieeffiziente Lösungen zu investieren, um den Betrieb ihrer Gebäude nachhaltiger zu gestalten und langfristige Energieeinsparungen zu erzielen.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Solarthermische Anlagen - Nichtwohngebäude (458),Bund,30 %,Solarthermie,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG",Die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude fördert gezielte Investitionen in Energieeffizienzmaßnahmen wie die Installation effizienter Heizungs- und Kühlsysteme sowie die Integration von erneuerbaren Energien in gewerblichen und öffentlichen Gebäuden.,Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wärmepumpen - Nichtwohngebäude (458),Bund,30 %,Wärmepumpe,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und Organisationen erhalten durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude Unterstützung, um in energieeffiziente Technologien zu investieren und somit ihre Betriebskosten zu senken und ihren ökologischen Fußabdruck zu verringern.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Brennstoffzellenheizung - Nichtwohngebäude (458),Bund,30 %,Sonstige Heizungen,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und öffentliche Einrichtungen erhalten durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung, um energieeffiziente Lösungen umzusetzen und damit langfristig Betriebskosten zu senken und die Umwelt zu schonen.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Innovative Heiztechnik - Nichtwohngebäude,Bund,30 %,Sonstige Heizungen,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude werden Unternehmen und Organisationen dabei unterstützt, in energieeffiziente Technologien zu investieren und so ihre Betriebskosten langfristig zu senken und ihre Nachhaltigkeitsziele zu erreichen.",Zuschuss,Bestand,"Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Errichtung, Umbau und Erweiterung des Gebäudenetzes - Nichtwohngebäude",Bund,30 %,Fernwärme,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und öffentliche Einrichtungen erhalten durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung, um in energieeffiziente Technologien zu investieren und ihren ökologischen Fußabdruck zu reduzieren.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Gebäudenetzanschluss - Nichtwohngebäude (458),Bund,30 %,Fernwärme,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und Institutionen können durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung erhalten, um in energieeffiziente Technologien zu investieren und ihre Betriebskosten langfristig zu senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wärmenetzanschluss - Nichtwohngebäude (458),Bund,30 %,Fernwärme,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,500 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und Organisationen können durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung erhalten, um in energieeffiziente Technologien zu investieren und ihren ökologischen Fußabdruck zu verringern.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Heizungsoptimierung zur Effizienzverbesserung - Nichtwohngebäude,Bund,15 %,Heizungsoptimierung,Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,500 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und Institutionen können durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung erhalten, um in energieeffiziente Technologien zu investieren und ihre Betriebskosten langfristig zu senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Heizungsoptimierung zur Emissionsminderung - Nichtwohngebäude,Bund,50 %,"Heizungsoptimierung, Biomasse",Nichtwohngebäude
BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude: Investition in Energieeffizienz,true,"5 € pro m²
20.000 €","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Unternehmen und Organisationen können durch die BEG-Einzelmaßnahme-Förderung für Nichtwohngebäude finanzielle Unterstützung erhalten, um in energieeffiziente Technologien zu investieren und ihren ökologischen Fußabdruck zu verringern.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Fachplanung/Baubegleitung - Nichtwohngebäude,Bund,50 %,"Energieberatung, Lüftung, Fenster / Haustür, Biomasse, Solarthermie, Sonstige Heizungen, Fernwärme, Heizungsoptimierung, Baubegleitung, Dämmung",Nichtwohngebäude
Bundesförderung Aufbauprogramm Wärmepumpe (BAW),true,500 € ,Unternehmen,"Das Bundesförderprogramm Aufbauprogramm Wärmepumpe (BAW) unterstützt den Einsatz von Wärmepumpen, um den Energieverbrauch zu senken und den Ausstoß von Treibhausgasen zu reduzieren.",Zuschuss,,Bundesförderung Aufbauprogramm Wärmepumpe (BAW),Bund,90 %,,
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,200 € pro m²,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung ermöglicht es Wohnungsbesitzern, ihre Gebäude energieeffizienter zu gestalten und dadurch langfristig Energiekosten zu senken und einen Beitrag zum Klimaschutz zu leisten.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wasserstofffähige Heizung (Investitionsmehrausgaben) - Nichtwohngebäude (458),Bund,30 %,Sonstige Heizungen,Nichtwohngebäude
,true,Abhängig von Maßnahme,Unternehmen,,Zuschuss,,BLE Ackerbaustrategie - Förderaufruf Pflanzenschutz,Bund,Individuell,,Sonstiges
EIF - Teil A: Agrarinvestitionsförderprogramm,true,50%,Unternehmen,,Zuschuss,"Bestand, Neubau",EIF - Teil A: Agrarinvestitionsförderprogramm (AFP),Bundesland,20%,Investitionsförderung,Nichtwohngebäude
,false,200.000 €,"Privatperson, Unternehmen, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",Deutsche Stiftung für Denkmalschutz,Bund,50 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Biomasse, Solarthermie, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Holzbau, Wärmespeicher, Altersgerechter Umbau & Einbruchschutz","Wohngebäude, Nichtwohngebäude"
,true,9 %,"Privatperson, Unternehmen",,Steuer-erstattung,"Bestand, Neubau",AfA Denkmalabschreibung,Bund,7 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Holzbau, Wärmespeicher, Altersgerechter Umbau & Einbruchschutz, Passivhaus","Wohngebäude, Nichtwohngebäude"
,true,250.000 €,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",LEADER Bayern (2023-2027),Bundesland,30 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,3500 €,Unternehmen,,Zuschuss,"Bestand, Neubau",Förderung von Unternehmensberatungen für KMU,Bund,50 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Altersgerechter Umbau & Einbruchschutz, Passivhaus, Wärmespeicher, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,500.000 €,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",(GAK) Integrierte ländliche Entwicklung -  Dorfentwicklung (Ortschaften bis 10.000 EW),Bund,40%,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Holzbau, Sonstiges","Wohngebäude, Nichtwohngebäude"
,true,5000 €,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau","Energiesteuergesetz (EnergieStG) §§53 ff. - Steuerentlastungen BHKW, Stromerzeugungsanlagen",Bund,"4,42 € / MWh","Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Passivhaus, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,200.000 €,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",EEG - Biomasseanlagen ,Bund,"19,43 ct/kWh","Biomasse, Erneuerbare Energien","Wohngebäude, Nichtwohngebäude"
,true,12.000 €,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",KWKG 2023 - KWK-Anlagen bis 50 kWel (Vergütung KWK-Strom) 12 000 pro jahr,Bund,0.16 €/KWh,"Wärmepumpe, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Erneuerbare Energien","Wohngebäude, Nichtwohngebäude"
,true,,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",KWKG 2023 - Wärme- und Kältespeicher ,Bund,250€/m³,"Wärmepumpe, Fernwärme, Heizungsoptimierung, Sonstige Heizungen, Erneuerbare Energien, Batteriespeicher","Wohngebäude, Nichtwohngebäude"
,true,40.000 € ,"Privatperson, WEG",,Zuschuss,"Bestand, Neubau",Steuerermäßigung für energetische Maßnahmen bei zu eigenen Wohnzwecken genutzten Gebäuden - (§ 35c EStG),Bund,20 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Holzbau",Wohngebäude
,true,1200 €,"Privatperson, Unternehmen",,Zuschuss,"Bestand, Neubau",Steuerermäßigung für haushaltsnahe Handwerkerleistungen (§ 35a Absatz 3 EStG) ,Bund,20 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,9 %,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",Steuerlich erhöhte Absetzungen bei Gebäuden in Sanierungsgebieten und städtebaulichen Entwicklungsbereichen (§ 7h EStG) ,Bund,7 %,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Altersgerechter Umbau & Einbruchschutz, Wärmespeicher, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,2 mil.  € /12 Monate,"Unternehmen, Contractor, Kommune, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",Bundesförderung für effiziente Wärmenetze (BEW),Bund,40%,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Passivhaus, Wärmespeicher, Altersgerechter Umbau & Einbruchschutz, Holzbau","Wohngebäude, Nichtwohngebäude"
,true,,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",Umsatzsteuerliche Maßnahmen zur Förderung des Ausbaus von Photovoltaikanlagen - (§ 12 Absatz 3 Nummer 1 UStG) ,Bund,3000 € ,"Photovoltaik, Erneuerbare Energien","Wohngebäude, Nichtwohngebäude"
,true,,"Privatperson, WEG",,Zuschuss,"Bestand, Neubau","Stromspar-Check 150,00 €",Bund,150 €,"Dämmung, Fenster / Haustür, Wärmepumpe, Solarthermie, Biomasse, Heizungsoptimierung, Fernwärme, Sonstige Heizungen, Energieberatung, Baubegleitung, Photovoltaik, Erneuerbare Energien, Ladestation, Batteriespeicher, Lüftung, Smart Home, Effizienzhaus, Holzbau, Wärmespeicher, Altersgerechter Umbau & Einbruchschutz, Passivhaus",Wohngebäude
,true,,"Privatperson, Unternehmen, WEG, Kommune, Contractor, Gemeinnützige Organisation",,Zuschuss,"Bestand, Neubau",EEG - Geothermieanlagen ,Bund,"25,20 / KWh","Fernwärme, Erneuerbare Energien, Wärmespeicher","Wohngebäude, Nichtwohngebäude"
